"Leganto Doi","Leganto Authors","Leganto Pubdate","Course code","Course instructors",Department,"Course status","Course year","Reading list code","Reading list name","Leganto Journal title","Leganto  title","WoS Title","WoS journal","Publication year",Publisher,"Doc type",Citations,"WoS ID","Author name","Author sequence","Address sequence",Address,City,Country,"Item ID","Daisng ID"
10.1037/0096-1523.32.6.1501,"Smeets, Jeroen B. J ; Brenner, Eli",2006-12,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Journal of experimental psychology. Human perception and performance","10 Years of Illusions",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1037/0096-1523.32.6.1501,"Smeets, Jeroen B. J ; Brenner, Eli",2006-12,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Journal of experimental psychology. Human perception and performance","10 Years of Illusions",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1068/p5343,"Salvucci, Dario D ; Gray, Rob",2004-10,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Perception (London)","A Two-Point Visual Control Model of Steering",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1068/p5343,"Salvucci, Dario D ; Gray, Rob",2004-10,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Perception (London)","A Two-Point Visual Control Model of Steering",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1068/p5343,"Salvucci, Dario D ; Gray, Rob",2004-10,EXLIBRIS_DEFAULT_COURSE,,,Inactive,,0.3437744242961218,"Mark's Reading List","Perception (London)","A Two-Point Visual Control Model of Steering",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1017/S0140525X99002150,"Findlay, John M ; Walker, Robin",1999-08,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","The Behavioral and brain sciences","A model of saccade generation based on parallel processing and competitive inhibition",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1017/S0140525X99002150,"Findlay, John M ; Walker, Robin",1999-08,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","The Behavioral and brain sciences","A model of saccade generation based on parallel processing and competitive inhibition",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1002/hipo.20298,"Spiers, Hugo J ; Maguire, Eleanor A",2007-08,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List",Hippocampus,"A navigational guidance system in the human brain",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1002/hipo.20298,"Spiers, Hugo J ; Maguire, Eleanor A",2007-08,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List",Hippocampus,"A navigational guidance system in the human brain",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1037/0096-1523.34.5.1150,"Wilkie, Richard M ; Wann, John P ; Allison, Robert S",2008-10,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Journal of experimental psychology. Human perception and performance","Active Gaze, Visual Look-Ahead, and Locomotor Control",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1037/0096-1523.34.5.1150,"Wilkie, Richard M ; Wann, John P ; Allison, Robert S",2008-10,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Journal of experimental psychology. Human perception and performance","Active Gaze, Visual Look-Ahead, and Locomotor Control",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1016/j.tics.2006.05.003,"Körding, Konrad P ; Wolpert, Daniel M",2006,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Trends in cognitive sciences","Bayesian decision theory in sensorimotor control",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1016/j.tics.2006.05.003,"Körding, Konrad P ; Wolpert, Daniel M",2006,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Trends in cognitive sciences","Bayesian decision theory in sensorimotor control",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1016/S0960-9822(99)80451-5,"Collett, Matthew ; Collett, Thomas S ; Wehner, Rüdiger",1999-09-23,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Current biology","Calibration of vector navigation in desert ants",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1016/S0960-9822(99)80451-5,"Collett, Matthew ; Collett, Thomas S ; Wehner, Rüdiger",1999-09-23,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Current biology","Calibration of vector navigation in desert ants",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1016/j.compedu.2012.04.016,"Ng, Wan",2012-11,RLTS_MM0000,00933255,Null,Active,,0.684406036369916,"Reading List","Computers and education","Can we teach digital natives digital literacy?",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1167/10.4.24,"Kandil, Farid I ; Rotter, Alexander ; Lappe, Markus",2010,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Journal of vision (Charlottesville, Va.)","Car drivers attend to different gaze targets when negotiating closed vs. open bends",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1167/10.4.24,"Kandil, Farid I ; Rotter, Alexander ; Lappe, Markus",2010,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Journal of vision (Charlottesville, Va.)","Car drivers attend to different gaze targets when negotiating closed vs. open bends",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1126/science.1075396,"Hillis, J.H ; Ernst, M.O ; Banks, M.S ; Landy, M.S",2002-11-22,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Science (American Association for the Advancement of Science)","Combining Sensory Information: Mandatory Fusion within, but Not between, Senses",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1126/science.1075396,"Hillis, J.H ; Ernst, M.O ; Banks, M.S ; Landy, M.S",2002-11-22,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Science (American Association for the Advancement of Science)","Combining Sensory Information: Mandatory Fusion within, but Not between, Senses",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1177/0961000620966027,"Alison Hicks, Annemaree Lloyd, Alison Hicks, Annemaree Lloyd",2020,RLTS_MM0000,00933255,Null,Active,,0.684406036369916,"Reading List","Journal of Librarianship and Information Science","Deconstructing information literacy discourse: Peeling back the layers in higher education",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1016/S0960-9822(02)01337-4,"Wilkie, Richard M ; Wann, John P",2002-12-10,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Current biology","Driving as Night Falls: The Contribution of Retinal Flow and Visual Direction to the Control of Steering",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1016/S0960-9822(02)01337-4,"Wilkie, Richard M ; Wann, John P",2002-12-10,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Current biology","Driving as Night Falls: The Contribution of Retinal Flow and Visual Direction to the Control of Steering",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1167/9.1.11,"Kandil, Farid I ; Rotter, Alexander ; Lappe, Markus",2009-01-13,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Journal of vision (Charlottesville, Va.)","Driving is smoother and more stable when using the tangent point",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1167/9.1.11,"Kandil, Farid I ; Rotter, Alexander ; Lappe, Markus",2009-01-13,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Journal of vision (Charlottesville, Va.)","Driving is smoother and more stable when using the tangent point",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1167/3.11.3,"Wilkie, Richard M ; Wann, John P",2003-11-18,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Journal of vision (Charlottesville, Va.)","Eye-movements aid the control of locomotion",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1167/3.11.3,"Wilkie, Richard M ; Wann, John P",2003-11-18,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Journal of vision (Charlottesville, Va.)","Eye-movements aid the control of locomotion",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1080/1355800770140109,"Hartley, James ; Burnhill, Peter",1977-02-01,34855_DESN5154M,00942069,"School of Design",Inactive,,202122_DESN5154M__8895162_1,"DESN5154M: DESN5154M Reading List","Programmed learning & educational technology","Fifty Guide-Lines for Improving Instructional Text",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1016/S0003-9993(99)90273-3,"Katz, Noomi ; Hartman-Maeir, Adina ; Ring, Haim ; Soroker, Nachum",1999,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Archives of physical medicine and rehabilitation","Functional disability and rehabilitation outcome in right hemisphere damaged patients with and without unilateral spatial neglect",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1016/S0003-9993(99)90273-3,"Katz, Noomi ; Hartman-Maeir, Adina ; Ring, Haim ; Soroker, Nachum",1999,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Archives of physical medicine and rehabilitation","Functional disability and rehabilitation outcome in right hemisphere damaged patients with and without unilateral spatial neglect",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1111/j.1468-2303.2006.00355.x,"WHYTE, WILLIAM",2006-05,EXLIBRIS_DEFAULT_COURSE,,,Inactive,,0.5184198054315963,"Dummy Reading List","History and theory","HOW DO BUILDINGS MEAN? SOME ISSUES OF INTERPRETATION IN THE HISTORY OF ARCHITECTURE",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1016/j.cub.2003.11.005,"Srinivasan, M.V",2003-12-02,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Current biology","Honeybee navigation",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1016/j.cub.2003.11.005,"Srinivasan, M.V",2003-12-02,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Current biology","Honeybee navigation",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1007/s004220000168,"Collett, Matthew ; Collett, Thomas S",2000-08,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Biological cybernetics","How do insects use path integration for their navigation?",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1007/s004220000168,"Collett, Matthew ; Collett, Thomas S",2000-08,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Biological cybernetics","How do insects use path integration for their navigation?",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1002/hipo.10070,"King, John A ; Burgess, Neil ; Hartley, Tom ; Vargha-Khadem, Faraneh ; O'Keefe, John",2002,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List",Hippocampus,"Human hippocampus and viewpoint dependence in spatial memory",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1002/hipo.10070,"King, John A ; Burgess, Neil ; Hartley, Tom ; Vargha-Khadem, Faraneh ; O'Keefe, John",2002,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List",Hippocampus,"Human hippocampus and viewpoint dependence in spatial memory",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1038/415429a,"Ernst, Marc O ; Banks, Martin S",2002-01-24,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Nature (London)","Humans integrate visual and haptic information in a statistically optimal fashion",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1038/415429a,"Ernst, Marc O ; Banks, Martin S",2002-01-24,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Nature (London)","Humans integrate visual and haptic information in a statistically optimal fashion",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1007/978-3-662-56375-5,"Hölting, Bernward ; Coldewey, Wilhelm G",2018,22757_SOEE5070M,00038895,"School of Earth and Environment",Inactive,,202122_SOEE5070M__8608259_1,"SOEE5070M: SOEE5070 Module Reading List",,Hydrogeology,string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1093/brain/124.5.941,"Husain, Masud ; Mannan, Sabira ; Hodgson, Tim ; Wojciulik, Ewa ; Driver, Jon ; Kennard, Christopher",2001-05,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Brain (London, England : 1878)","Impaired spatial working memory across saccades contributes to abnormal search in parietal neglect",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1093/brain/124.5.941,"Husain, Masud ; Mannan, Sabira ; Hodgson, Tim ; Wojciulik, Ewa ; Driver, Jon ; Kennard, Christopher",2001-05,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Brain (London, England : 1878)","Impaired spatial working memory across saccades contributes to abnormal search in parietal neglect",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1242/jeb.01880,"Vladusich, T ; Hemmi, JM ; Srinivasan, MV ; Zeil, J",2005-11,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Journal of experimental biology","Interactions of visual odometry and landmark guidance during food search in honeybees",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1242/jeb.01880,"Vladusich, T ; Hemmi, JM ; Srinivasan, MV ; Zeil, J",2005-11,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Journal of experimental biology","Interactions of visual odometry and landmark guidance during food search in honeybees",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1037/0096-1523.32.1.88,"Wilkie, Richard M ; Wann, John P",2006-02,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Journal of experimental psychology. Human perception and performance","Judgments of Path, Not Heading, Guide Locomotion",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1037/0096-1523.32.1.88,"Wilkie, Richard M ; Wann, John P",2006-02,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Journal of experimental psychology. Human perception and performance","Judgments of Path, Not Heading, Guide Locomotion",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1126/science.280.5365.921,"Maguire, EA ; Burgess, N ; Donnett, JG ; Frackowiak, RSJ ; Frith, CD ; O'Keefe, J",1998-05-08,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Science (American Association for the Advancement of Science)","Knowing Where and Getting There: A Human Navigation Network",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1126/science.280.5365.921,"Maguire, EA ; Burgess, N ; Donnett, JG ; Frackowiak, RSJ ; Frith, CD ; O'Keefe, J",1998-05-08,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Science (American Association for the Advancement of Science)","Knowing Where and Getting There: A Human Navigation Network",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1136/jnnp.20.1.11,"Scoville, William Beecher ; Milner, Brenda",1957-02,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Journal of neurology, neurosurgery and psychiatry","LOSS OF RECENT MEMORY AFTER BILATERAL HIPPOCAMPAL LESIONS",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1136/jnnp.20.1.11,"Scoville, William Beecher ; Milner, Brenda",1957-02,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Journal of neurology, neurosurgery and psychiatry","LOSS OF RECENT MEMORY AFTER BILATERAL HIPPOCAMPAL LESIONS",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1007/s00221-009-1813-6,"Cloete, Steven R ; Wallis, Guy",2009-04-29,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Experimental brain research","Limitations of feedforward control in multiple-phase steering movements",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1007/s00221-009-1813-6,"Cloete, Steven R ; Wallis, Guy",2009-04-29,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Experimental brain research","Limitations of feedforward control in multiple-phase steering movements",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1038/23276,"Squire, Larry R ; Teng, Edmond",1999-08-12,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Nature (London)","Memory for places learned long ago is intact after hippocampal damage",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1038/23276,"Squire, Larry R ; Teng, Edmond",1999-08-12,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Nature (London)","Memory for places learned long ago is intact after hippocampal damage",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1144/GSL.QJEG.1986.019.01.02,"Hobbs, N. B",1986-02,28573_SOEE5531M,"01051505; 01064654","School of Earth and Environment",Inactive,,202122_SOEE5531M__8970365_1,"SOEE5531M: Module Reading List","Quarterly journal of engineering geology and hydrogeology","Mire morphology and the properties and behaviour of some British and foreign peats",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1371/journal.pone.0011975,"Egger, Seth W ; Engelhardt, Heidi R ; Britten, Kenneth H",2010,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","PloS one","Monkey steering responses reveal rapid visual-motor feedback",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1371/journal.pone.0011975,"Egger, Seth W ; Engelhardt, Heidi R ; Britten, Kenneth H",2010,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","PloS one","Monkey steering responses reveal rapid visual-motor feedback",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
